Rank,Name,Tm,League,Year,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
1,Don Newcombe,BRO,NL,1956,223,8,66%,5.3,52,111,13,26,2,16,1,12,0.234,0.312,0.342,0.654,27,7,3.06,0.989,38,36,0,268,219,33,46,139
2,Sal Maglie,BRO,NL,1956,183,4,54%,4.3,28,70,1,9,0,2,0,1,0.129,0.141,0.129,0.269,13,5,2.87,1.079,28,26,0,191,154,21,52,108
3,Henry Aaron,MLN,NL,1956,146,0,43%,7.2,153,609,106,200,26,92,2,37,0.328,0.365,0.558,0.923,,,,,,,,,,,,
4,Warren Spahn,MLN,NL,1956,126,1,38%,6,39,105,8,22,3,10,1,4,0.21,0.239,0.324,0.562,20,11,2.78,1.07,39,35,3,281.1,249,25,52,128
5,Jim Gilliam,BRO,NL,1956,103,4,31%,6.2,153,594,102,178,6,43,21,95,0.3,0.399,0.396,0.794,,,,,,,,,,,,
6,Roy McMillan,CIN,NL,1956,96,3,29%,4.4,150,479,51,126,3,62,4,76,0.263,0.366,0.344,0.71,,,,,,,,,,,,
7,Frank Robinson,CIN,NL,1956,79,0,24%,6.5,152,572,122,166,38,83,8,64,0.29,0.379,0.558,0.936,,,,,,,,,,,,
8,Pee Wee Reese,BRO,NL,1956,71,3,21%,2.6,147,572,85,147,9,46,13,56,0.257,0.322,0.344,0.667,,,,,,,,,,,,
9,Stan Musial,STL,NL,1956,62,0,18%,5.5,156,594,87,184,27,109,2,75,0.31,0.386,0.522,0.908,,,,,,,,,,,,
1,Henry Aaron,MLN,NL,1957,239,9,71%,8,151,615,118,198,44,132,1,57,0.322,0.378,0.6,0.978,,,,,,,,,,,,
2,Stan Musial,STL,NL,1957,230,5,68%,6.1,134,502,82,176,29,102,1,66,0.351,0.422,0.612,1.034,,,,,,,,,,,,
3,Red Schoendienst,TOT,NL,1957,221,8,66%,5.7,150,648,91,200,15,65,4,33,0.309,0.344,0.451,0.795,,,,,,,,,,,,
4,Willie Mays,NYG,NL,1957,174,1,52%,8.3,152,585,112,195,35,97,38,76,0.333,0.407,0.626,1.033,,,,,,,,,,,,
5,Warren Spahn,MLN,NL,1957,131,1,39%,4.7,39,94,3,13,2,8,0,4,0.138,0.17,0.245,0.415,21,11,2.69,1.177,39,35,3,271,241,23,78,111
6,Ernie Banks,CHC,NL,1957,60,0,18%,6.7,156,594,113,169,43,102,8,70,0.285,0.36,0.579,0.939,,,,,,,,,,,,
7,Gil Hodges,BRO,NL,1957,54,0,16%,4.3,150,579,94,173,27,98,5,63,0.299,0.366,0.511,0.877,,,,,,,,,,,,
8,Eddie Mathews,MLN,NL,1957,45,0,13%,7.4,148,572,109,167,32,94,3,90,0.292,0.387,0.54,0.927,,,,,,,,,,,,
9,Frank Robinson,CIN,NL,1957,42,0,13%,6.9,150,611,97,197,29,75,10,44,0.322,0.376,0.529,0.905,,,,,,,,,,,,
1,Ernie Banks,CHC,NL,1958,283,16,84%,9.3,154,617,119,193,47,129,4,52,0.313,0.366,0.614,0.98,,,,,,,,,,,,
2,Willie Mays,SFG,NL,1958,185,3,55%,10.2,152,600,121,208,29,96,31,78,0.347,0.419,0.583,1.002,,,,,,,,,,,,
3,Henry Aaron,MLN,NL,1958,166,0,49%,7.3,153,601,109,196,30,95,4,59,0.326,0.386,0.546,0.931,,,,,,,,,,,,
4,Frank Thomas,PIT,NL,1958,143,2,43%,3,149,562,89,158,35,109,0,42,0.281,0.334,0.528,0.863,,,,,,,,,,,,
5,Warren Spahn,MLN,NL,1958,108,1,32%,5.9,41,108,10,36,2,15,0,7,0.333,0.381,0.463,0.844,22,11,3.07,1.148,38,36,1,290,257,29,76,150
6,Bob Friend,PIT,NL,1958,98,0,29%,1.8,38,94,3,10,0,6,0,4,0.106,0.141,0.128,0.269,22,14,3.68,1.314,38,38,0,274,299,25,61,135
7,Richie Ashburn,PHI,NL,1958,62,0,18%,7,152,615,98,215,2,33,30,97,0.35,0.44,0.441,0.881,,,,,,,,,,,,
8,Bill Mazeroski,PIT,NL,1958,61,1,18%,4.8,152,567,69,156,19,68,1,25,0.275,0.308,0.439,0.747,,,,,,,,,,,,
9,Orlando Cepeda,SFG,NL,1958,57,0,17%,3,148,603,88,188,25,96,15,29,0.312,0.342,0.512,0.854,,,,,,,,,,,,
1,Ernie Banks,CHC,NL,1959,232,10,69%,10.2,155,589,97,179,45,143,2,64,0.304,0.374,0.596,0.97,,,,,,,,,,,,
2,Eddie Mathews,MLN,NL,1959,189,5,56%,8.2,148,594,118,182,46,114,2,80,0.306,0.39,0.593,0.983,,,,,,,,,,,,
3,Henry Aaron,MLN,NL,1959,174,2,52%,8.6,154,629,116,223,39,123,8,51,0.355,0.401,0.636,1.037,,,,,,,,,,,,
4,Wally Moon,LAD,NL,1959,161,4,48%,5.5,145,543,93,164,19,74,15,81,0.302,0.394,0.495,0.89,,,,,,,,,,,,
5,Sam Jones,SFG,NL,1959,130,0,39%,5.2,50,85,3,11,0,8,0,3,0.129,0.157,0.141,0.298,21,15,2.83,1.26,50,35,5,270.2,232,18,109,209
6,Willie Mays,SFG,NL,1959,85,0,25%,7.8,151,575,125,180,34,104,27,65,0.313,0.381,0.583,0.964,,,,,,,,,,,,
7,Roy Face,PIT,NL,1959,67,0,20%,3.2,58,13,0,3,0,0,0,0,0.231,0.231,0.231,0.462,18,1,2.7,1.243,57,0,10,93.1,91,5,25,69
8,Charlie Neal,LAD,NL,1959,64,0,19%,4.4,151,616,103,177,19,83,17,43,0.287,0.337,0.464,0.802,,,,,,,,,,,,
9,Frank Robinson,CIN,NL,1959,52,0,15%,5.8,146,540,106,168,36,125,18,69,0.311,0.391,0.583,0.975,,,,,,,,,,,,
1,Dick Groat,PIT,NL,1960,276,16,82%,6.1,138,573,85,186,2,50,0,39,0.325,0.371,0.394,0.766,,,,,,,,,,,,
2,Don Hoak,PIT,NL,1960,162,5,48%,5.4,155,553,97,156,16,79,3,74,0.282,0.366,0.445,0.81,,,,,,,,,,,,
3,Willie Mays,SFG,NL,1960,115,0,34%,9.5,153,595,107,190,29,103,25,61,0.319,0.381,0.555,0.936,,,,,,,,,,,,
4,Ernie Banks,CHC,NL,1960,100,0,30%,7.9,156,597,94,162,41,117,1,71,0.271,0.35,0.554,0.904,,,,,,,,,,,,
5,Lindy McDaniel,STL,NL,1960,95,0,28%,6,65,26,0,6,0,0,0,1,0.231,0.259,0.269,0.528,12,4,2.09,0.937,65,2,27,116.1,85,8,24,105
6,Ken Boyer,STL,NL,1960,80,0,24%,6.8,151,552,95,168,32,97,8,56,0.304,0.37,0.562,0.932,,,,,,,,,,,,
6,Vern Law,PIT,NL,1960,80,0,24%,4.8,35,94,10,17,1,7,0,2,0.181,0.196,0.309,0.504,20,9,3.08,1.126,35,35,0,271.2,266,25,40,120
8,Roberto Clemente,PIT,NL,1960,62,1,18%,4,144,570,89,179,16,94,4,39,0.314,0.357,0.458,0.815,,,,,,,,,,,,
9,Ernie Broglio,STL,NL,1960,58,0,17%,7.6,52,68,7,14,0,5,0,7,0.206,0.28,0.265,0.545,21,9,2.74,1.202,52,24,0,226.1,172,18,100,188
1,Frank Robinson,CIN,NL,1961,219,15,98%,7.7,153,545,117,176,37,124,22,71,0.323,0.404,0.611,1.015,,,,,,,,,,,,
2,Orlando Cepeda,SFG,NL,1961,117,0,52%,5.7,152,585,105,182,46,142,12,39,0.311,0.362,0.609,0.97,,,,,,,,,,,,
3,Vada Pinson,CIN,NL,1961,104,0,46%,7.5,154,607,101,208,16,87,23,39,0.343,0.379,0.504,0.883,,,,,,,,,,,,
4,Roberto Clemente,PIT,NL,1961,81,0,36%,6.4,146,572,100,201,23,89,4,35,0.351,0.39,0.559,0.949,,,,,,,,,,,,
5,Joey Jay,CIN,NL,1961,74,1,33%,3.8,34,89,3,8,0,5,0,2,0.09,0.11,0.124,0.233,21,10,3.53,1.249,34,34,0,247.1,217,25,92,157
6,Willie Mays,SFG,NL,1961,70,0,31%,8.7,154,572,129,176,40,123,18,81,0.308,0.393,0.584,0.977,,,,,,,,,,,,
7,Ken Boyer,STL,NL,1961,43,0,19%,8,153,589,109,194,24,95,6,68,0.329,0.397,0.533,0.93,,,,,,,,,,,,
8,Henry Aaron,MLN,NL,1961,39,0,17%,9.4,155,603,115,197,34,120,21,56,0.327,0.381,0.594,0.974,,,,,,,,,,,,
9,Maury Wills,LAD,NL,1961,36,0,16%,2.2,148,613,105,173,1,31,35,59,0.282,0.346,0.339,0.685,,,,,,,,,,,,
1,Maury Wills,LAD,NL,1962,209,8,75%,6,165,695,130,208,6,48,104,51,0.299,0.347,0.373,0.72,,,,,,,,,,,,
2,Willie Mays,SFG,NL,1962,202,7,72%,10.5,162,621,130,189,49,141,18,78,0.304,0.384,0.615,0.999,,,,,,,,,,,,
3,Tommy Davis,LAD,NL,1962,175,3,63%,6,163,665,120,230,27,153,18,33,0.346,0.374,0.535,0.91,,,,,,,,,,,,
4,Frank Robinson,CIN,NL,1962,164,2,59%,8.7,162,609,134,208,39,136,18,76,0.342,0.421,0.624,1.045,,,,,,,,,,,,
5,Don Drysdale,LAD,NL,1962,85,0,30%,5.9,43,111,9,22,0,14,0,5,0.198,0.246,0.252,0.498,25,9,2.83,1.113,43,41,1,314.1,272,21,78,232
6,Henry Aaron,MLN,NL,1962,72,0,26%,8.5,156,592,127,191,45,128,15,66,0.323,0.39,0.618,1.008,,,,,,,,,,,,
7,Jack Sanford,SFG,NL,1962,62,0,22%,3.3,39,98,5,15,0,4,0,4,0.153,0.183,0.184,0.366,24,7,3.43,1.225,39,38,0,265.1,233,23,92,147
8,Bob Purkey,CIN,NL,1962,33,0,12%,7,37,107,9,11,2,3,0,4,0.103,0.134,0.178,0.311,23,5,2.81,1.124,37,37,0,288.1,260,28,64,141
9,Frank Howard,LAD,NL,1962,32,0,11%,3.4,141,493,80,146,31,119,1,39,0.296,0.346,0.56,0.906,,,,,,,,,,,,
1,Sandy Koufax,LAD,NL,1963,237,14,85%,9.9,40,110,3,7,1,7,0,6,0.064,0.111,0.091,0.202,25,5,1.88,0.875,40,40,0,311,214,18,58,306
2,Dick Groat,STL,NL,1963,190,4,68%,7.1,158,631,85,201,6,73,3,56,0.319,0.377,0.45,0.827,,,,,,,,,,,,
3,Henry Aaron,MLN,NL,1963,135,1,48%,9.1,161,631,121,201,44,130,31,78,0.319,0.391,0.586,0.977,,,,,,,,,,,,
4,Ron Perranoski,LAD,NL,1963,130,0,46%,4.5,69,24,1,3,0,0,0,2,0.125,0.192,0.125,0.317,16,3,1.67,1.202,69,0,21,129,112,7,43,75
5,Willie Mays,SFG,NL,1963,102,0,36%,10.6,157,596,115,187,38,103,8,66,0.314,0.38,0.582,0.962,,,,,,,,,,,,
6,Jim Gilliam,LAD,NL,1963,62,1,22%,5.2,148,525,77,148,6,49,19,60,0.282,0.354,0.383,0.737,,,,,,,,,,,,
7,Bill White,STL,NL,1963,56,0,20%,6,162,658,106,200,27,109,10,59,0.304,0.36,0.491,0.851,,,,,,,,,,,,
8,Tommy Davis,LAD,NL,1963,41,0,15%,4,146,556,69,181,16,88,15,29,0.326,0.359,0.457,0.816,,,,,,,,,,,,
8,Ron Santo,CHC,NL,1963,41,0,15%,6.6,162,630,79,187,25,99,6,42,0.297,0.339,0.481,0.82,,,,,,,,,,,,
1,Ken Boyer,STL,NL,1964,243,14,87%,6.1,162,628,100,185,24,119,3,70,0.295,0.365,0.489,0.854,,,,,,,,,,,,
2,Johnny Callison,PHI,NL,1964,187,2,67%,6.1,162,654,101,179,31,104,6,36,0.274,0.316,0.492,0.809,,,,,,,,,,,,
3,Bill White,STL,NL,1964,106,2,38%,5.4,160,631,92,191,21,102,7,52,0.303,0.355,0.474,0.829,,,,,,,,,,,,
4,Frank Robinson,CIN,NL,1964,98,0,35%,7.9,156,568,103,174,29,96,23,79,0.306,0.396,0.548,0.943,,,,,,,,,,,,
5,Joe Torre,MLN,NL,1964,85,1,30%,5.4,154,601,87,193,20,109,2,36,0.321,0.365,0.498,0.863,,,,,,,,,,,,
6,Willie Mays,SFG,NL,1964,66,0,24%,11,157,578,121,171,47,111,19,82,0.296,0.383,0.607,0.99,,,,,,,,,,,,
7,Dick Allen,PHI,NL,1964,63,0,23%,8.8,162,632,125,201,29,91,3,67,0.318,0.382,0.557,0.939,,,,,,,,,,,,
8,Ron Santo,CHC,NL,1964,59,0,21%,8.9,161,592,94,185,30,114,3,86,0.313,0.398,0.564,0.962,,,,,,,,,,,,
9,Roberto Clemente,PIT,NL,1964,56,0,20%,7.2,155,622,95,211,12,87,5,51,0.339,0.388,0.484,0.872,,,,,,,,,,,,
1,Willie Mays,SFG,NL,1965,224,9,80%,11.2,157,558,118,177,52,112,9,76,0.317,0.398,0.645,1.043,,,,,,,,,,,,
2,Sandy Koufax,LAD,NL,1965,177,6,63%,8.6,43,113,4,20,0,7,0,10,0.177,0.242,0.195,0.437,26,8,2.04,0.855,43,41,2,335.2,216,26,71,382
3,Maury Wills,LAD,NL,1965,164,5,59%,5.2,158,650,92,186,0,33,94,40,0.286,0.33,0.329,0.66,,,,,,,,,,,,
4,Deron Johnson,CIN,NL,1965,108,0,39%,4,159,616,92,177,32,130,0,52,0.287,0.34,0.515,0.854,,,,,,,,,,,,
5,Don Drysdale,LAD,NL,1965,77,0,28%,5.4,58,130,18,39,7,19,0,5,0.3,0.331,0.508,0.839,23,12,2.77,1.09,44,42,1,308.1,270,30,66,210
6,Pete Rose,CIN,NL,1965,67,0,24%,5.6,162,670,117,209,11,81,8,69,0.312,0.382,0.446,0.828,,,,,,,,,,,,
7,Henry Aaron,MLN,NL,1965,58,0,21%,7.9,150,570,109,181,32,89,24,60,0.318,0.379,0.56,0.938,,,,,,,,,,,,
8,Roberto Clemente,PIT,NL,1965,56,0,20%,7.2,152,589,91,194,10,65,8,43,0.329,0.378,0.463,0.842,,,,,,,,,,,,
9,Juan Marichal,SFG,NL,1965,26,0,9%,10.5,39,98,2,17,0,9,0,1,0.173,0.18,0.204,0.384,22,13,2.13,0.914,39,37,1,295.1,224,27,46,240
1,Roberto Clemente,PIT,NL,1966,218,8,78%,8.2,154,638,105,202,29,119,7,46,0.317,0.36,0.536,0.896,,,,,,,,,,,,
2,Sandy Koufax,LAD,NL,1966,208,9,74%,9.7,41,118,5,9,0,5,0,5,0.076,0.113,0.102,0.215,27,9,1.73,0.985,41,41,0,323,241,19,77,317
3,Willie Mays,SFG,NL,1966,111,0,40%,9,152,552,99,159,37,103,5,70,0.288,0.368,0.556,0.924,,,,,,,,,,,,
4,Dick Allen,PHI,NL,1966,107,1,38%,7.5,141,524,112,166,40,110,10,68,0.317,0.396,0.632,1.027,,,,,,,,,,,,
5,Felipe Alou,ATL,NL,1966,83,2,30%,6.2,154,666,122,218,31,74,5,24,0.327,0.361,0.533,0.894,,,,,,,,,,,,
6,Juan Marichal,SFG,NL,1966,74,0,26%,9.7,37,112,10,28,1,15,0,2,0.25,0.263,0.321,0.585,25,6,2.23,0.859,37,36,0,307.1,228,32,36,222
7,Phil Regan,LAD,NL,1966,66,0,24%,5,65,21,2,3,0,0,0,3,0.143,0.25,0.143,0.393,14,1,1.62,0.934,65,0,21,116.2,85,6,24,88
8,Henry Aaron,ATL,NL,1966,57,0,20%,7.9,158,603,117,168,44,127,21,76,0.279,0.356,0.539,0.895,,,,,,,,,,,,
9,Matty Alou,PIT,NL,1966,36,0,13%,3.3,141,535,86,183,2,27,23,24,0.342,0.373,0.421,0.793,,,,,,,,,,,,
1,Orlando Cepeda,STL,NL,1967,280,20,100%,6.8,151,563,91,183,25,111,11,62,0.325,0.399,0.524,0.923,,,,,,,,,,,,
2,Tim McCarver,STL,NL,1967,136,0,49%,6,138,471,68,139,14,69,8,54,0.295,0.369,0.452,0.822,,,,,,,,,,,,
3,Roberto Clemente,PIT,NL,1967,129,0,46%,8.9,147,585,103,209,23,110,9,41,0.357,0.4,0.554,0.954,,,,,,,,,,,,
4,Ron Santo,CHC,NL,1967,103,0,37%,9.8,161,586,107,176,31,98,1,96,0.3,0.395,0.512,0.906,,,,,,,,,,,,
5,Henry Aaron,ATL,NL,1967,79,0,28%,8.5,155,600,113,184,39,109,17,63,0.307,0.369,0.573,0.943,,,,,,,,,,,,
6,Mike McCormick,SFG,NL,1967,73,0,26%,4.2,41,84,8,10,1,5,0,4,0.119,0.157,0.179,0.336,22,10,2.85,1.147,40,35,0,262.1,220,25,81,150
7,Lou Brock,STL,NL,1967,49,0,18%,5.6,159,689,113,206,21,76,52,24,0.299,0.327,0.472,0.799,,,,,,,,,,,,
8,Tony Pérez,CIN,NL,1967,43,0,15%,3.2,156,600,78,174,26,102,0,33,0.29,0.328,0.49,0.818,,,,,,,,,,,,
9,Julián Javier,STL,NL,1967,41,0,15%,2.6,140,520,68,146,14,64,6,25,0.281,0.314,0.404,0.718,,,,,,,,,,,,
1,Bob Gibson,STL,NL,1968,242,14,86%,11.9,35,94,3,16,0,6,1,7,0.17,0.233,0.223,0.456,22,9,1.12,0.853,34,34,0,304.2,198,11,62,268
2,Pete Rose,CIN,NL,1968,205,6,73%,5.5,149,626,94,210,10,49,3,56,0.335,0.391,0.47,0.861,,,,,,,,,,,,
3,Willie McCovey,SFG,NL,1968,135,0,48%,7,148,523,81,153,36,105,4,72,0.293,0.378,0.545,0.923,,,,,,,,,,,,
4,Curt Flood,STL,NL,1968,116,0,41%,4.1,150,618,71,186,5,60,11,33,0.301,0.339,0.366,0.705,,,,,,,,,,,,
5,Juan Marichal,SFG,NL,1968,93,0,33%,5.6,38,123,8,20,0,5,0,2,0.163,0.181,0.195,0.376,26,9,2.43,1.047,38,38,0,325.2,295,21,46,218
6,Lou Brock,STL,NL,1968,73,0,26%,5.8,159,660,92,184,6,51,62,46,0.279,0.328,0.418,0.746,,,,,,,,,,,,
7,Mike Shannon,STL,NL,1968,55,0,20%,3.6,156,576,62,153,15,79,1,37,0.266,0.309,0.401,0.71,,,,,,,,,,,,
8,Billy Williams,CHC,NL,1968,48,0,17%,4.6,163,642,91,185,30,98,4,48,0.288,0.336,0.5,0.836,,,,,,,,,,,,
9,Glenn Beckert,CHC,NL,1968,40,0,14%,5.6,155,643,98,189,4,37,8,31,0.294,0.326,0.369,0.695,,,,,,,,,,,,
1,Willie McCovey,SFG,NL,1969,265,11,79%,8.1,149,491,101,157,45,126,0,121,0.32,0.453,0.656,1.108,,,,,,,,,,,,
2,Tom Seaver,NYM,NL,1969,243,11,72%,7.2,39,91,7,11,0,6,1,7,0.121,0.2,0.154,0.354,25,7,2.21,1.039,36,35,0,273.1,202,24,82,208
3,Henry Aaron,ATL,NL,1969,188,2,56%,8,147,547,100,164,44,97,9,87,0.3,0.396,0.607,1.003,,,,,,,,,,,,
4,Pete Rose,CIN,NL,1969,127,0,38%,6.6,156,627,120,218,16,82,7,88,0.348,0.428,0.512,0.94,,,,,,,,,,,,
5,Ron Santo,CHC,NL,1969,124,0,37%,5.5,160,575,97,166,29,123,1,96,0.289,0.384,0.485,0.869,,,,,,,,,,,,
6,Tommie Agee,NYM,NL,1969,89,0,26%,5.2,149,565,97,153,26,76,12,59,0.271,0.342,0.464,0.806,,,,,,,,,,,,
7,Cleon Jones,NYM,NL,1969,82,0,24%,7,137,483,92,164,12,75,16,64,0.34,0.422,0.482,0.904,,,,,,,,,,,,
8,Roberto Clemente,PIT,NL,1969,51,0,15%,7.5,138,507,87,175,19,91,4,56,0.345,0.411,0.544,0.955,,,,,,,,,,,,
9,Phil Niekro,ATL,NL,1969,47,0,14%,6.3,40,95,11,20,0,7,0,2,0.211,0.227,0.253,0.479,23,13,2.56,1.027,40,35,1,284.1,235,21,57,193
1,Johnny Bench,CIN,NL,1970,326,22,97%,7.4,158,605,97,177,45,148,5,54,0.293,0.345,0.587,0.932,,,,,,,,,,,,
2,Billy Williams,CHC,NL,1970,218,2,65%,6.6,161,636,137,205,42,129,7,72,0.322,0.391,0.586,0.977,,,,,,,,,,,,
3,Tony Pérez,CIN,NL,1970,149,0,44%,7.2,158,587,107,186,40,129,8,83,0.317,0.401,0.589,0.99,,,,,,,,,,,,
4,Bob Gibson,STL,NL,1970,110,0,33%,10.1,40,109,14,33,2,19,0,8,0.303,0.347,0.404,0.751,23,7,3.12,1.19,34,34,0,294,262,13,88,274
5,Wes Parker,LAD,NL,1970,91,0,27%,5.2,161,614,84,196,10,111,8,79,0.319,0.392,0.458,0.85,,,,,,,,,,,,
6,Dave Giusti,PIT,NL,1970,72,0,21%,1.9,66,16,1,3,0,3,0,3,0.188,0.316,0.313,0.628,9,3,3.06,1.33,66,1,26,103,98,7,39,85
7,Pete Rose,CIN,NL,1970,54,0,16%,4.8,159,649,120,205,15,52,12,73,0.316,0.385,0.47,0.855,,,,,,,,,,,,
8,Jim Hickman,CHC,NL,1970,52,0,15%,5,149,514,102,162,32,115,0,93,0.315,0.419,0.582,1.001,,,,,,,,,,,,
9,Willie McCovey,SFG,NL,1970,47,0,14%,6.6,152,495,98,143,39,126,0,137,0.289,0.444,0.612,1.056,,,,,,,,,,,,
1,Joe Torre,STL,NL,1971,318,21,95%,5.9,161,634,97,230,24,137,4,63,0.363,0.421,0.555,0.976,,,,,,,,,,,,
2,Willie Stargell,PIT,NL,1971,222,3,66%,7.9,141,511,104,151,48,125,0,83,0.295,0.398,0.628,1.026,,,,,,,,,,,,
3,Henry Aaron,ATL,NL,1971,180,0,54%,7.2,139,495,95,162,47,118,1,71,0.327,0.41,0.669,1.079,,,,,,,,,,,,
4,Bobby Bonds,SFG,NL,1971,139,0,41%,6.7,155,619,110,178,33,102,26,62,0.288,0.355,0.512,0.867,,,,,,,,,,,,
5,Roberto Clemente,PIT,NL,1971,87,0,26%,7.2,132,522,82,178,13,86,1,26,0.341,0.37,0.502,0.871,,,,,,,,,,,,
6,Maury Wills,LAD,NL,1971,74,0,22%,2.5,149,601,73,169,3,44,15,40,0.281,0.323,0.329,0.652,,,,,,,,,,,,
7,Fergie Jenkins,CHC,NL,1971,71,0,21%,11.8,39,115,13,28,6,20,0,7,0.243,0.282,0.478,0.761,24,13,2.77,1.049,39,39,0,325,304,29,37,263
8,Manny Sanguillén,PIT,NL,1971,49,0,15%,5,138,533,60,170,7,81,6,19,0.319,0.345,0.426,0.771,,,,,,,,,,,,
9,Tom Seaver,NYM,NL,1971,46,0,14%,10.9,39,92,8,18,1,7,0,6,0.196,0.245,0.261,0.506,20,10,1.76,0.946,36,35,0,286.1,210,18,61,289
1,Johnny Bench,CIN,NL,1972,263,11,78%,8.6,147,538,87,145,40,125,6,100,0.27,0.379,0.541,0.92,,,,,,,,,,,,
2,Billy Williams,CHC,NL,1972,211,5,63%,6.2,150,574,95,191,37,122,3,62,0.333,0.398,0.606,1.005,,,,,,,,,,,,
3,Willie Stargell,PIT,NL,1972,201,2,60%,3.9,138,495,74,145,33,112,1,65,0.293,0.373,0.558,0.93,,,,,,,,,,,,
4,Joe Morgan,CIN,NL,1972,197,5,59%,9.3,149,552,122,161,16,73,58,115,0.292,0.417,0.435,0.851,,,,,,,,,,,,
5,Steve Carlton,PHI,NL,1972,124,1,37%,12.5,41,117,6,23,1,8,0,5,0.197,0.236,0.265,0.501,27,10,1.97,0.993,41,41,0,346.1,257,17,87,310
6,César Cedeño,HOU,NL,1972,112,0,33%,8,139,559,103,179,22,82,55,56,0.32,0.385,0.537,0.921,,,,,,,,,,,,
7,Al Oliver,PIT,NL,1972,52,0,15%,3.2,140,565,88,176,12,89,2,34,0.312,0.352,0.437,0.789,,,,,,,,,,,,
8,Nate Colbert,SDP,NL,1972,45,0,13%,5.4,151,563,87,141,38,111,15,70,0.25,0.333,0.508,0.841,,,,,,,,,,,,
9,Lee May,HOU,NL,1972,30,0,9%,2.8,148,592,87,168,29,98,3,52,0.284,0.343,0.49,0.833,,,,,,,,,,,,
1,Pete Rose,CIN,NL,1973,274,12,82%,8.3,160,680,115,230,5,64,10,65,0.338,0.401,0.437,0.838,,,,,,,,,,,,
2,Willie Stargell,PIT,NL,1973,250,10,74%,7.2,148,522,106,156,44,119,0,80,0.299,0.392,0.646,1.038,,,,,,,,,,,,
3,Bobby Bonds,SFG,NL,1973,174,1,52%,7.8,160,643,131,182,39,96,43,87,0.283,0.37,0.53,0.9,,,,,,,,,,,,
4,Joe Morgan,CIN,NL,1973,102,1,30%,9.3,157,576,116,167,26,82,67,111,0.29,0.406,0.493,0.899,,,,,,,,,,,,
5,Mike Marshall,MON,NL,1973,93,0,28%,3.3,92,33,1,8,0,3,0,2,0.242,0.286,0.242,0.528,14,11,2.66,1.33,92,0,31,179,163,10,75,124
6,Lou Brock,STL,NL,1973,65,0,19%,2.1,160,650,110,193,7,63,70,71,0.297,0.364,0.398,0.762,,,,,,,,,,,,
7,Tony Pérez,CIN,NL,1973,59,0,18%,5.3,151,564,73,177,27,101,3,74,0.314,0.393,0.527,0.919,,,,,,,,,,,,
8,Tom Seaver,NYM,NL,1973,57,0,17%,11,39,93,9,15,1,5,1,7,0.161,0.22,0.237,0.457,19,10,2.08,0.976,36,36,0,290,219,23,64,251
9,Ken Singleton,MON,NL,1973,52,0,15%,5.7,162,560,100,169,23,103,2,123,0.302,0.425,0.479,0.904,,,,,,,,,,,,
1,Steve Garvey,LAD,NL,1974,270,13,80%,4.4,156,642,95,200,21,111,5,31,0.312,0.342,0.469,0.811,,,,,,,,,,,,
2,Lou Brock,STL,NL,1974,233,8,69%,3.5,153,635,105,194,3,48,118,61,0.306,0.368,0.381,0.749,,,,,,,,,,,,
3,Mike Marshall,LAD,NL,1974,146,1,43%,3.2,106,34,2,8,0,2,0,0,0.235,0.235,0.235,0.471,15,12,2.42,1.186,106,0,21,208.1,191,9,56,143
4,Johnny Bench,CIN,NL,1974,141,0,42%,7.8,160,621,108,174,33,129,5,80,0.28,0.363,0.507,0.87,,,,,,,,,,,,
5,Jim Wynn,LAD,NL,1974,137,0,41%,7.7,150,535,104,145,32,108,18,108,0.271,0.387,0.497,0.884,,,,,,,,,,,,
6,Mike Schmidt,PHI,NL,1974,136,0,40%,9.8,162,568,108,160,36,116,23,106,0.282,0.395,0.546,0.941,,,,,,,,,,,,
7,Al Oliver,PIT,NL,1974,87,0,26%,4.7,147,617,96,198,11,85,10,33,0.321,0.358,0.475,0.832,,,,,,,,,,,,
8,Joe Morgan,CIN,NL,1974,72,0,21%,8.6,149,512,107,150,22,67,58,120,0.293,0.427,0.494,0.921,,,,,,,,,,,,
9,Richie Zisk,PIT,NL,1974,54,0,16%,5.2,149,536,75,168,17,100,1,65,0.313,0.386,0.476,0.862,,,,,,,,,,,,
1,Joe Morgan,CIN,NL,1975,321,21,96%,11,146,498,107,163,17,94,67,132,0.327,0.466,0.508,0.974,,,,,,,,,,,,
2,Greg Luzinski,PHI,NL,1975,154,0,46%,3.2,161,596,85,179,34,120,3,89,0.3,0.394,0.54,0.934,,,,,,,,,,,,
3,Dave Parker,PIT,NL,1975,120,0,36%,6.3,148,558,75,172,25,101,8,38,0.308,0.357,0.541,0.898,,,,,,,,,,,,
4,Johnny Bench,CIN,NL,1975,117,0,35%,6.6,142,530,83,150,28,110,11,65,0.283,0.359,0.519,0.878,,,,,,,,,,,,
5,Pete Rose,CIN,NL,1975,114,2,34%,4.1,162,662,112,210,7,74,0,89,0.317,0.406,0.432,0.838,,,,,,,,,,,,
6,Ted Simmons,STL,NL,1975,103,0,31%,4.9,157,581,80,193,18,100,1,63,0.332,0.396,0.491,0.887,,,,,,,,,,,,
7,Willie Stargell,PIT,NL,1975,69,0,21%,3.6,124,461,71,136,22,90,0,58,0.295,0.375,0.516,0.891,,,,,,,,,,,,
