Rank,Name,Tm,League,Year,Vote.Pts,X1st.Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
7,Jim Thome,CLE,AL,2002,69,0,18%,7.4,147,480,101,146,52,118,1,122,0.304,0.445,0.677,1.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Magglio Ordóñez,CHW,AL,2002,59,0,15%,5.2,153,590,116,189,38,135,7,53,0.32,0.381,0.597,0.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Manny Ramirez,BOS,AL,2002,39,0,10%,6,120,436,84,152,33,107,0,73,0.349,0.45,0.647,1.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Alex Rodriguez,TEX,AL,2003,242,6,62%,8.4,161,607,124,181,47,118,17,87,0.298,0.396,0.6,0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Carlos Delgado,TOR,AL,2003,213,5,54%,5.9,161,570,117,172,42,145,0,109,0.302,0.426,0.593,1.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Jorge Posada,NYY,AL,2003,194,5,49%,5.9,142,481,83,135,30,101,2,93,0.281,0.405,0.518,0.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Shannon Stewart,TOT,AL,2003,140,3,36%,3.1,136,573,90,176,13,73,4,52,0.307,0.364,0.459,0.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,David Ortiz,BOS,AL,2003,130,4,33%,3.4,128,448,79,129,31,101,0,58,0.288,0.369,0.592,0.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Manny Ramirez,BOS,AL,2003,100,1,26%,5.4,154,569,117,185,37,104,3,97,0.325,0.427,0.587,1.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Nomar Garciaparra,BOS,AL,2003,99,1,25%,6.1,156,658,120,198,28,105,19,39,0.301,0.345,0.524,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Vernon Wells,TOR,AL,2003,84,1,21%,4.5,161,678,118,215,33,117,4,42,0.317,0.359,0.55,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Carlos Beltrán,KCR,AL,2003,77,0,20%,5.8,141,521,102,160,26,100,41,72,0.307,0.389,0.522,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Vladimir Guerrero,ANA,AL,2004,354,21,90%,5.6,156,612,124,206,39,126,15,52,0.337,0.391,0.598,0.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Gary Sheffield,NYY,AL,2004,254,5,65%,4.2,154,573,117,166,36,121,5,92,0.29,0.393,0.534,0.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Manny Ramirez,BOS,AL,2004,238,1,61%,4.1,152,568,108,175,43,130,2,82,0.308,0.397,0.613,1.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,David Ortiz,BOS,AL,2004,174,1,44%,4.3,150,582,94,175,41,139,0,75,0.301,0.38,0.603,0.983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Miguel Tejada,BAL,AL,2004,123,0,31%,7.4,162,653,107,203,34,150,4,48,0.311,0.36,0.534,0.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Johan Santana,MIN,AL,2004,117,0,30%,8.8,2,8,0,3,0,2,0,0,0.375,0.375,0.375,0.75,20,6,2.61,0.921,34,34,0,228,156,24,54,265
7,Ichiro Suzuki,SEA,AL,2004,98,0,25%,9.2,161,704,101,262,8,60,36,49,0.372,0.414,0.455,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Michael Young,TEX,AL,2004,92,0,23%,1.9,160,690,114,216,22,99,12,44,0.313,0.353,0.483,0.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Mariano Rivera,NYY,AL,2004,61,0,16%,4.2,2,0,0,0,0,0,0,0,NA,NA,NA,NA,4,2,1.94,1.081,74,0,53,78.2,65,3,20,66
1,Alex Rodriguez,NYY,AL,2005,331,16,84%,9.4,162,605,124,194,48,130,21,91,0.321,0.421,0.61,1.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,David Ortiz,BOS,AL,2005,307,11,78%,5.2,159,601,119,180,47,148,1,102,0.3,0.397,0.604,1.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Vladimir Guerrero,LAA,AL,2005,196,1,50%,5.7,141,520,95,165,32,108,13,61,0.317,0.394,0.565,0.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Manny Ramirez,BOS,AL,2005,156,0,40%,4.4,152,554,112,162,45,144,1,80,0.292,0.388,0.594,0.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Travis Hafner,CLE,AL,2005,151,0,39%,5.4,137,486,94,148,33,108,0,79,0.305,0.408,0.595,1.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Paul Konerko,CHW,AL,2005,128,0,33%,4,158,575,98,163,40,100,0,81,0.283,0.375,0.534,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Mark Teixeira,TEX,AL,2005,106,0,27%,7.2,162,644,112,194,43,144,4,72,0.301,0.379,0.575,0.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Gary Sheffield,NYY,AL,2005,84,0,21%,4.1,154,584,104,170,34,123,10,78,0.291,0.379,0.512,0.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Mariano Rivera,NYY,AL,2005,59,0,15%,4,5,0,0,0,0,0,0,0,NA,NA,NA,NA,7,4,1.38,0.868,71,0,43,78.1,50,2,18,80
1,Justin Morneau,MIN,AL,2006,320,15,82%,4.3,157,592,97,190,34,130,3,53,0.321,0.375,0.559,0.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Derek Jeter,NYY,AL,2006,306,12,78%,5.6,154,623,118,214,14,97,34,69,0.343,0.417,0.483,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,David Ortiz,BOS,AL,2006,193,0,49%,5.8,151,558,115,160,54,137,1,119,0.287,0.413,0.636,1.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Frank Thomas,OAK,AL,2006,174,0,44%,3.2,137,466,77,126,39,114,0,81,0.27,0.381,0.545,0.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Jermaine Dye,CHW,AL,2006,156,0,40%,4.6,146,539,103,170,44,120,7,59,0.315,0.385,0.622,1.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Joe Mauer,MIN,AL,2006,116,0,30%,5.8,140,521,86,181,13,84,8,79,0.347,0.429,0.507,0.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Johan Santana,MIN,AL,2006,114,1,29%,7.6,1,2,0,0,0,0,0,0,0,0,0,0,19,6,2.77,0.997,34,34,0,233.2,186,24,47,245
8,Travis Hafner,CLE,AL,2006,64,0,16%,5.9,129,454,100,140,42,117,0,100,0.308,0.439,0.659,1.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Vladimir Guerrero,LAA,AL,2006,46,0,12%,3.8,156,607,92,200,33,116,15,50,0.329,0.382,0.552,0.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Alex Rodriguez,NYY,AL,2007,382,26,97%,9.4,158,583,143,183,54,156,24,95,0.314,0.422,0.645,1.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Magglio Ordóñez,DET,AL,2007,258,2,66%,7.3,157,595,117,216,28,139,4,76,0.363,0.434,0.595,1.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Vladimir Guerrero,LAA,AL,2007,203,0,52%,4.6,150,574,89,186,27,125,2,71,0.324,0.403,0.547,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,David Ortiz,BOS,AL,2007,177,0,45%,6.4,149,549,116,182,35,117,3,111,0.332,0.445,0.621,1.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Mike Lowell,BOS,AL,2007,126,0,32%,5,154,589,79,191,21,120,3,53,0.324,0.378,0.501,0.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Jorge Posada,NYY,AL,2007,112,0,29%,5.4,144,506,91,171,20,90,2,74,0.338,0.426,0.543,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Víctor Martínez,CLE,AL,2007,103,0,26%,4.3,147,562,78,169,25,114,0,62,0.301,0.374,0.505,0.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Ichiro Suzuki,SEA,AL,2007,89,0,23%,5.8,161,678,111,238,6,68,37,49,0.351,0.396,0.431,0.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Carlos Peña,TBD,AL,2007,64,0,16%,7.2,148,490,99,138,46,121,1,103,0.282,0.411,0.627,1.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dustin Pedroia,BOS,AL,2008,317,16,81%,7,157,653,118,213,17,83,20,50,0.326,0.376,0.493,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Justin Morneau,MIN,AL,2008,257,7,66%,4.2,163,623,97,187,23,129,0,76,0.3,0.374,0.499,0.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Kevin Youkilis,BOS,AL,2008,201,2,51%,6.3,145,538,91,168,29,115,3,62,0.312,0.39,0.569,0.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Joe Mauer,MIN,AL,2008,188,2,48%,5.6,146,536,98,176,9,85,1,84,0.328,0.413,0.451,0.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Carlos Quentin,CHW,AL,2008,160,0,41%,5.3,130,480,96,138,36,100,7,66,0.288,0.394,0.571,0.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Francisco Rodríguez,LAA,AL,2008,143,1,36%,2.5,4,0,0,0,0,0,0,0,NA,NA,NA,NA,2,3,2.24,1.288,76,0,62,68.1,54,4,34,77
7,Josh Hamilton,TEX,AL,2008,112,0,29%,5.5,156,624,98,190,32,130,9,64,0.304,0.371,0.53,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Alex Rodriguez,NYY,AL,2008,45,0,11%,6.8,138,510,104,154,35,103,18,65,0.302,0.392,0.573,0.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Carlos Peña,TBR,AL,2008,44,0,11%,5.1,139,490,76,121,31,102,1,96,0.247,0.377,0.494,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Joe Mauer,MIN,AL,2009,387,27,99%,7.8,138,523,94,191,28,96,4,76,0.365,0.444,0.587,1.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Mark Teixeira,NYY,AL,2009,225,0,57%,5.3,156,609,103,178,39,122,2,81,0.292,0.383,0.565,0.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Derek Jeter,NYY,AL,2009,193,0,49%,6.6,153,634,107,212,18,66,30,72,0.334,0.406,0.465,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Miguel Cabrera,DET,AL,2009,171,1,44%,5.1,160,611,96,198,34,103,6,68,0.324,0.396,0.547,0.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Kendrys Morales,LAA,AL,2009,170,0,43%,4.3,152,566,86,173,34,108,3,46,0.306,0.355,0.569,0.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Kevin Youkilis,BOS,AL,2009,150,0,38%,6.6,136,491,99,150,27,94,7,77,0.305,0.413,0.548,0.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Jason Bay,BOS,AL,2009,78,0,20%,5.2,151,531,103,142,36,119,13,94,0.267,0.384,0.537,0.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Ben Zobrist,TBR,AL,2009,34,0,9%,8.6,152,501,91,149,27,91,17,91,0.297,0.405,0.543,0.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Ichiro Suzuki,SEA,AL,2009,33,0,8%,4.7,146,639,88,225,11,46,26,32,0.352,0.386,0.465,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Josh Hamilton,TEX,AL,2010,358,22,91%,8.7,133,518,95,186,32,100,8,43,0.359,0.411,0.633,1.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Miguel Cabrera,DET,AL,2010,262,5,67%,6.5,150,548,111,180,38,126,3,89,0.328,0.42,0.622,1.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Robinson Canó,NYY,AL,2010,229,0,58%,8.1,160,626,103,200,29,109,3,57,0.319,0.381,0.534,0.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,José Bautista,TOR,AL,2010,165,1,42%,7,161,569,109,148,54,124,9,100,0.26,0.378,0.617,0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Paul Konerko,CHW,AL,2010,130,0,33%,4.7,149,548,89,171,39,111,0,72,0.312,0.393,0.584,0.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Evan Longoria,TBR,AL,2010,100,0,26%,8.2,151,574,96,169,22,104,15,72,0.294,0.372,0.507,0.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Carl Crawford,TBR,AL,2010,98,0,25%,7,154,600,110,184,19,90,47,46,0.307,0.356,0.495,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Joe Mauer,MIN,AL,2010,97,0,25%,5.9,137,510,88,167,9,75,1,65,0.327,0.402,0.469,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Adrian Beltré,BOS,AL,2010,83,0,21%,7.8,154,589,84,189,28,102,2,40,0.321,0.365,0.553,0.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Justin Verlander,DET,AL,2011,280,13,71%,8.6,1,4,0,0,0,0,0,0,0,0,0,0,24,5,2.4,0.92,34,34,0,251,174,24,57,250
2,Jacoby Ellsbury,BOS,AL,2011,242,4,62%,8.3,158,660,119,212,32,105,39,52,0.321,0.376,0.552,0.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,José Bautista,TOR,AL,2011,231,5,59%,8.3,149,513,105,155,43,103,9,132,0.302,0.447,0.608,1.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Curtis Granderson,NYY,AL,2011,215,3,55%,6.1,156,583,136,153,41,119,25,85,0.262,0.364,0.552,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Miguel Cabrera,DET,AL,2011,193,2,49%,7.6,161,572,111,197,30,105,2,108,0.344,0.448,0.586,1.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Robinson Canó,NYY,AL,2011,112,0,29%,5.8,159,623,104,188,28,118,8,38,0.302,0.349,0.533,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Adrián González,BOS,AL,2011,105,0,27%,6.9,159,630,108,213,27,117,1,74,0.338,0.41,0.548,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Michael Young,TEX,AL,2011,96,1,24%,2.7,159,631,88,213,11,106,6,47,0.338,0.38,0.474,0.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Dustin Pedroia,BOS,AL,2011,48,0,12%,8,159,635,102,195,21,91,26,86,0.307,0.387,0.474,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Miguel Cabrera,DET,AL,2012,362,22,92%,7.1,161,622,109,205,44,139,4,66,0.33,0.393,0.606,0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Mike Trout,LAA,AL,2012,281,6,72%,10.5,139,559,129,182,30,83,49,67,0.326,0.399,0.564,0.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Adrian Beltré,TEX,AL,2012,210,0,54%,7.2,156,604,95,194,36,102,1,36,0.321,0.359,0.561,0.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Robinson Canó,NYY,AL,2012,149,0,38%,8.4,161,627,105,196,33,94,3,61,0.313,0.379,0.55,0.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Josh Hamilton,TEX,AL,2012,127,0,32%,4,148,562,103,160,43,128,7,60,0.285,0.354,0.577,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Adam Jones,BAL,AL,2012,120,0,31%,4.1,162,648,103,186,32,82,16,34,0.287,0.334,0.505,0.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Derek Jeter,NYY,AL,2012,77,0,20%,2.2,159,683,99,216,15,58,9,45,0.316,0.362,0.429,0.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Justin Verlander,DET,AL,2012,58,0,15%,8,3,4,0,0,0,0,0,0,0,0,0,0,17,8,2.64,1.057,33,33,0,238.1,192,19,60,239
9,Prince Fielder,DET,AL,2012,56,0,14%,4.7,162,581,83,182,30,108,1,85,0.313,0.412,0.528,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Miguel Cabrera,DET,AL,2013,385,23,92%,7.5,148,555,103,193,44,137,3,90,0.348,0.442,0.636,1.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Mike Trout,LAA,AL,2013,282,5,67%,8.9,157,589,109,190,27,97,33,110,0.323,0.432,0.557,0.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Chris Davis,BAL,AL,2013,232,1,55%,7.1,160,584,103,167,53,138,4,72,0.286,0.37,0.634,1.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Josh Donaldson,OAK,AL,2013,222,1,53%,7.2,158,579,89,174,24,93,5,76,0.301,0.384,0.499,0.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Robinson Canó,NYY,AL,2013,150,0,36%,6.6,160,605,81,190,27,107,7,65,0.314,0.383,0.516,0.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Evan Longoria,TBR,AL,2013,103,0,25%,5.8,160,614,91,165,32,88,1,70,0.269,0.343,0.498,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Adrian Beltré,TEX,AL,2013,99,0,24%,5.7,161,631,88,199,30,92,1,50,0.315,0.371,0.509,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Dustin Pedroia,BOS,AL,2013,99,0,24%,6.1,160,641,91,193,9,84,17,73,0.301,0.372,0.415,0.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Manny Machado,BAL,AL,2013,57,0,14%,5.9,156,667,88,189,14,71,6,29,0.283,0.314,0.432,0.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Mike Trout,LAA,AL,2014,420,30,100%,7.7,157,602,115,173,36,111,16,83,0.287,0.377,0.561,0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Víctor Martínez,DET,AL,2014,229,0,55%,5.5,151,561,87,188,32,103,3,70,0.335,0.409,0.565,0.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Michael Brantley,CLE,AL,2014,191,0,45%,7,156,611,94,200,20,97,23,52,0.327,0.385,0.506,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,José Abreu,CHW,AL,2014,145,0,35%,5.8,145,556,80,176,36,107,3,51,0.317,0.383,0.581,0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Robinson Canó,SEA,AL,2014,124,0,30%,6.3,157,595,77,187,14,82,10,61,0.314,0.382,0.454,0.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,José Bautista,TOR,AL,2014,122,0,29%,6.9,155,553,101,158,35,103,6,104,0.286,0.403,0.524,0.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Nelson Cruz,BAL,AL,2014,102,0,24%,4.5,159,613,87,166,40,108,4,55,0.271,0.333,0.525,0.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Josh Donaldson,OAK,AL,2014,96,0,23%,6.9,158,608,93,155,29,98,8,76,0.255,0.342,0.456,0.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Miguel Cabrera,DET,AL,2014,82,0,20%,5.1,159,611,101,191,25,109,1,60,0.313,0.371,0.524,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Josh Donaldson,TOR,AL,2015,385,23,92%,7.1,158,620,122,184,41,123,6,73,0.297,0.371,0.568,0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Mike Trout,LAA,AL,2015,304,7,72%,9.6,159,575,104,172,41,90,11,92,0.299,0.402,0.59,0.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Lorenzo Cain,KCR,AL,2015,225,0,54%,7,140,551,101,169,16,72,28,37,0.307,0.361,0.477,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Manny Machado,BAL,AL,2015,158,0,38%,7.5,162,633,102,181,35,86,20,70,0.286,0.359,0.502,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Dallas Keuchel,HOU,AL,2015,107,0,25%,6.6,2,5,0,1,0,0,0,0,0.2,0.2,0.2,0.4,20,8,2.48,1.017,33,33,0,232,185,17,51,216
6,Nelson Cruz,SEA,AL,2015,94,0,22%,5.1,152,590,90,178,44,93,3,59,0.302,0.369,0.566,0.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Adrian Beltré,TEX,AL,2015,83,0,20%,4.4,143,567,83,163,18,83,1,41,0.287,0.334,0.453,0.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,José Bautista,TOR,AL,2015,82,0,20%,4.8,153,543,108,136,40,114,8,110,0.25,0.377,0.536,0.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,David Price,TOT,AL,2015,62,0,15%,6.1,3,9,0,0,0,0,0,0,0,0,0,0,18,5,2.45,1.076,32,32,0,220.1,190,17,47,225
1,Mike Trout,LAA,AL,2016,356,19,85%,10.5,159,549,123,173,29,100,30,116,0.315,0.441,0.55,0.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Mookie Betts,BOS,AL,2016,311,9,74%,9.5,158,672,122,214,31,113,26,49,0.318,0.363,0.534,0.897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Jose Altuve,HOU,AL,2016,227,0,54%,7.9,161,640,108,216,24,96,30,60,0.338,0.396,0.531,0.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Josh Donaldson,TOR,AL,2016,200,0,48%,7.2,155,577,122,164,37,99,7,109,0.284,0.404,0.549,0.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Manny Machado,BAL,AL,2016,150,0,36%,7.3,157,640,105,188,37,96,0,48,0.294,0.343,0.533,0.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,David Ortiz,BOS,AL,2016,147,1,35%,5.2,151,537,79,169,38,127,2,80,0.315,0.401,0.62,1.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Adrian Beltré,TEX,AL,2016,135,1,32%,6.7,153,583,89,175,32,104,1,48,0.3,0.358,0.521,0.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Robinson Canó,SEA,AL,2016,79,0,19%,7.3,161,655,107,195,39,103,0,47,0.298,0.35,0.533,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Miguel Cabrera,DET,AL,2016,56,0,13%,5.1,158,595,92,188,38,108,0,75,0.316,0.393,0.563,0.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Jose Altuve,HOU,AL,2017,405,27,96%,7.7,153,590,112,204,24,81,32,58,0.346,0.41,0.547,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Aaron Judge,NYY,AL,2017,279,2,66%,8,155,542,128,154,52,114,9,127,0.284,0.422,0.627,1.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,José Ramírez,CLE,AL,2017,237,1,56%,7,152,585,107,186,29,83,17,52,0.318,0.374,0.583,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Mike Trout,LAA,AL,2017,197,0,47%,6.9,114,402,92,123,33,72,22,94,0.306,0.442,0.629,1.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Francisco Lindor,CLE,AL,2017,143,0,34%,5.7,159,651,99,178,33,89,15,60,0.273,0.337,0.505,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Mookie Betts,BOS,AL,2017,110,0,26%,6.4,153,628,101,166,24,102,26,77,0.264,0.344,0.459,0.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Corey Kluber,CLE,AL,2017,101,0,24%,7.9,1,2,0,1,0,0,0,0,0.5,0.5,0.5,1,18,4,2.25,0.869,29,29,0,203.2,141,21,36,265
8,Andrelton Simmons,LAA,AL,2017,60,0,14%,7.9,158,589,77,164,14,69,19,47,0.278,0.331,0.421,0.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Chris Sale,BOS,AL,2017,56,0,13%,6,1,3,0,1,0,0,0,0,0.333,0.333,0.667,1,17,8,2.9,0.97,32,32,0,214.1,165,24,43,308
1,Mookie Betts,BOS,AL,2018,410,28,98%,10.7,136,520,129,180,32,80,30,81,0.346,0.438,0.64,1.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Mike Trout,LAA,AL,2018,265,1,63%,9.9,140,471,101,147,39,79,24,122,0.312,0.46,0.628,1.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,José Ramírez,CLE,AL,2018,208,0,50%,7.5,157,578,110,156,39,105,34,106,0.27,0.387,0.552,0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
